country,variety,points,price,title,taster_name,description,year
US,Carmenère,88,26,Drink Washington State 2014 Enjoy Walla Walla Carmenère (Walla Walla Valley (WA)),Sean P. Sullivan,"Upfront jalapeño, white pepper and freshly sliced bell pepper aromas lead the nose of this wine. It's soft in texture and an intriguing example of the variety.",2014
Chile,Cabernet Sauvignon,82,12,Cigar Box 2015 Old Vine Hand Harvested Cabernet Sauvignon (Central Valley),Michael Schachner,Two samples of this Cabernet were tasted and both are reduced and smell like spray paint. A clampy tannic palate offers stewy black-fruit flavors in front of an overoaked finish. This lacks flow and doesn't seem entirely natural.,2015
US,Sangiovese,89,22,Deerfield Ranch 1999 Roumiguiere Vineyard Sangiovese (Lake County),NA,"A tantalizing  wine, at once rigid and austere, then yielding and generous. It's pale in color, with earthy smells of sun-warmed red brick, dust and an elusive hint of black cherry. Remarkably light in the mouth, like air, with silky tannins. Firm acids scream out for Italian food. —S.H.",1999
Italy,Chardonnay,88,24,Kellerei Kaltern Caldaro 2011 Wadleith Chardonnay (Alto Adige),NA,"Wadleith offers fullness and generosity with bright aromas of yellow rose and stone fruit followed by touches of almond and cinnamon spice. The wine closes with a smooth, waxy feel and a touch of heat on the close.",2011
Argentina,Chardonnay,87,18,Viña Cobos 2014 Felino Chardonnay (Mendoza),Michael Schachner,"Vanilla, popcorn, resiny oak, pear and pineapple aromas come in front of a creamy feeling palate. Flavors of oak, vanilla, popcorn and tropical fruits end similarly. This is consistently sweet and oaky from nose to palate to finish.",2014
France,Gamay,91,25,Richard Rottiers 2010  Moulin-à-Vent,Roger Voss,"Smoky wine, rich as well as structured. The acidity of the year is integrated into the structure, the firm tannins and juicy red berry fruits a balanced pleasure to taste.",2010
US,Chardonnay,92,50,De Loach 2008 Hawk Hill Vineyard Chardonnay (Russian River Valley),NA,"A flamboyant, crisp Chardonnay made in the popular style of elaborately toasty oak and very ripe fruit, which combine to offer an almost pastry-like dessert taste. Floods the mouth with pineapple tart, Meyer lemondrop and vanilla flavors, with suggestions of kiwis, limes and green apples. Delicious and appealing.",2008
US,Chardonnay,90,48,Kerloo 2015 Calling Club Exclusive Chardonnay (Columbia Gorge (WA)),Sean P. Sullivan,"Fermented and aged in neutral French oak with full malolactic fermentation, the aromas are light, with notes of green apple and mineral. The freshly squeezed lemon acids are tart and racy, capped off by a lightly creamy finish. Pair it with food to see it at its best.",2015
Italy,Sangiovese Grosso,92,NA,Innocenti 2007 Riserva  (Brunello di Montalcino),NA,"There's an exotic touch of Indian spice and teriyaki sauce upfront that later segues to bright cherry fruit, leather and tobacco. The fruit feels ripe and soft, and the mouthfeel is firmly structured, polished and tight. Drink after 2015.",2007
US,Syrah,85,22,Consilience 2013 Syrah (Santa Barbara County),Matt Kettmann,"Leather, shaved cocoa, smoked beef and purple fruit show on the nose of this wine. The palate offers touches of savory soy and smoked meat, but is dominated by sour boysenberry fruit.",2013
France,Chardonnay,88,NA,Domaine de la Croix Senaillet 2008 La Grande Bruyère  (Saint-Véran),Roger Voss,"Soft, green fruited wine, an attractive mix of crisp fruits and weighty texture. There is a good bite of pepper and apple skin that develops as the wine opens up.",2008
Italy,Sangiovese,91,NA,Castelli del Grevepesa 2005 Riserva del Cavaliere  (Chianti Classico),NA,"Here's a bold and modern Riserva that exhibits both grace and power. The aromatic layers are thick and intense and include cherry, smoked bacon, almond nut and dried blue flowers. The mouthfeel is bright with fine texture and smooth tannins.",2005
US,Bordeaux-style Red Blend,95,95,Shoup 2007 Red (Columbia Valley (WA)),Paul Gregutt,"Made by Long Shadows winemaker Gilles Nicault, this wine, along with the 2008 and 2009 vintages, were released together. This is the most mature—a five-grape, Bordeaux-style blend. It's a beautifully integrated, floral and dusty wine, with contoured, sculpted fruit. Plums and cherries dominate, with dustings of cocoa powder, coffee and a hint of hazelnut. The wine is graceful and profound, with superb length and finesse.",2007
US,Pinot Noir,87,26,Kessler-Haak 2016 Rose of Pinot Noir (Sta. Rita Hills),Matt Kettmann,"A brilliant shade of purplish-pink, this bottling is quite light on the nose, with hints of hibiscus and raspberry. The flavors are crisp and easy, with tart strawberry, light nectarine and subtle cranberry juice.",2016
Italy,Sangiovese,90,46,Querciavalle 2007 Armonia Famiglia Losi Sangiovese (Colli della Toscana Centrale),NA,"Loads of black fruit intensity is backed by soft notes of chocolate, leather and spice. The wine boasts a very plump and round style that makes it a pleasure to savor.",2007
US,Bordeaux-style Red Blend,92,75,Seven Hills 2014 Pentad Red (Walla Walla Valley (WA)),Sean P. Sullivan,"This blend of Cabernet Sauvignon, Petit Verdot, Carménère, Malbec and Cabernet Franc offers aromas of purple fruit, green herb, clove, barrel spice and spice box. It's light and supple, filling out with palate-coating fruit flavors. The tannins bring a bit of grip that softens with additional time open. Put it on the dinner table to see it at its best.",2014
France,Bordeaux-style Red Blend,89,12,Château de Costis 2011  Bordeaux,Roger Voss,"This is a full-bodied, structured wine full of ripe berry fruits, delicate acidity and soft tannins. There is a juicy element that offers freshness to balance the firm texture. Wait a year to drink this wine.",2011
US,Sauvignon Blanc,84,11,Columbia Crest 2007 Grand Estates Sauvignon Blanc (Columbia Valley (WA)),Paul Gregutt,"This tastes a bit over-cropped; the varietal character is there, but it's a pale rendition. Lightly peppery and grassy, with hints of citrus and very green apple fruit. Straightforward and simple.",2007
Spain,Tinto Fino,94,120,Dominio de Atauta 2010 Valdegatiles  (Ribera del Duero),Michael Schachner,"Black cherry, cassis and cola aromas are on the money and exact, with nothing overt sticking out. This bottling is strongly built, probably the most tannic of Atauta's 2010 single-vineyard wines, but it's not coarse. Savory flavors of smoked meat, tea and baked berry fruits end with rooty, roasted notes. Drink through 2024.",2010
Chile,Carmenère,88,21,Errazuriz 2009 Single Vineyard Don Maximiano Estate Carmenère (Aconcagua Valley),Michael Schachner,"Leather, raisin, earth and lightly baked berry aromas precede a woody, vanilla-infused palate with blackberry and spicecake flavors. Balanced and lively on the tongue, with a dry, barrel-spiced finish. Solid and appealing, but a little oaky.",2009
US,Gewürztraminer,88,10,Hogue 2014 Gewürztraminer (Columbia Valley (WA)),Sean P. Sullivan,"This wine is still settling in, with tiny bubbles coating the glass. The aromas of spice, flowers and lychee are vibrant and the palate drinks dry, showing plenty of richness and intensity.",2014
US,Pinot Noir,81,15,Brotherhood 2005 Pinot Noir (New York),Susan Kostrzewa,"Subtle aromas of cherry and cinnamon spice are followed by an overly tart, acidic character on this wine from historic Brotherhood. Light and somewhat one dimensional, it does have a clean finish and its minerality will recommend it to food pairing.",2005
US,Muscat,84,13,Cuckoo's Nest 2014 Fizzé Early Muscat (Oregon),Paul Gregutt,"This lightly spritzy, sweet wine has the sort of orange flavor that recalls baby aspirin. There's an impression of artificality; the fruit does not come through with much freshness.",2014
Australia,Riesling,92,17,D'Arenberg 2015 The Dry Dam Riesling (McLaren Vale-Adelaide Hills),Joe Czerwinski,"Neither McLaren Vale nor Adelaide Hills are particularly known for their Rieslings, but this is a fine example. Scents of wet stone and flower-shop greens lead into off-dry flavors of lemon zest and green apples. The balance between sugar and acids, lithe body and long finish is finely judged. Drink now–2025.",2015
US,Cabernet Sauvignon,90,19,Goyette 2008 Cabernet Sauvignon (Napa Valley),NA,"This is a smooth, rich and very drinkable Cabernet Sauvignon. It shows ripely classic flavors of blackberries, black currants, minerals and cedar. The tannins are brisk and furry, but the wine doesn't seem like a longterm ager. Good now and through 2014.",2008
Italy,Nebbiolo,84,75,Mauro Molino 2009 Vigna Conca  (Barolo),Kerin O’Keefe,"From the Conca vineyard in La Morra, this Barolo shows the uneven ripening that plagued much of this village in 2009. It shows predominantly wood aromas of chocolate and toast, and the palate is also dominated by oak sensations. The fruit appears to have dried up, leaving only aggressive, astringent tannins.",2009
US,Red Blend,89,18,Huston 2015 Chicken Dinner Red (America),Sean P. Sullivan,"This blend of Cabernet Sauvignon, Merlot and Syrah offers appealing, fruit-forward aromas of plum and blackberry. The flavors are direct and fruit filled, providing a lot of enjoyment.",2015
Chile,Malbec,85,12,Santa Alicia 2014 Reserva Espiritu de Los Andes Estate Bottled Malbec (Maipo Valley),Michael Schachner,"Earthy, rustic aromas of tree bark and herbal berry fruits set up a fresh, fairly aggressive palate. Simple berry flavors are backed by chocolate and oaky char, while the finish is peppery and feels a bit hot.",2014
Portugal,Fernão Pires,88,12,Quinta do Casal Branco 2006 Falcoaria Fernão Pires (Ribatejo),Roger Voss,"A wood-aged, rich wine that shows big, ripe fruits and a good spice and toast element from the wood, balanced by white nectarines and currants. It is full, rounded and creamy.",2006
France,Champagne Blend,88,30,Canard-Duchêne NV Authentic Brut  (Champagne),Roger Voss,"This blend of Pinot Noir and Chardonnay is the producer's nonvintage wine. Crisp and fresh, it's delightfully tangy and bright with acidity, citrus and juicy apple flavors. It is made to be a great apéritif style with its fruity, light aftertaste.",NA
Italy,Nero d'Avola,85,10,Cantine Ermes 2014 Marchese Montefusco Nero d'Avola (Terre Siciliane),Kerin O’Keefe,"The subdued nose eventually reveals black cherry, anise and a whiff of chopped herb that carry over to the straightforward, informal palate. Dusty, drying tannins and a note of bitter sage leave an astringent finish.",2014
Spain,Tempranillo,87,18,Casado Morales 2012 Nobleza Dimidium  (Rioja),Michael Schachner,"Dusty, rubbery berry aromas are peppery and scratchy. This has a round, bouncy mouthfeel and loamy, lightly baked flavors of blackberry and raisin. An earthy, loamy-tasting finish provides a weighty anchor.",2012
Italy,Nebbiolo,91,70,Alberto Voerzio 2011 La Serra  (Barolo),Kerin O’Keefe,"Aromas of oak, toast, espresso, peppermint and a whiff of blue flower lead the nose. The firm palate offers dark cherry, cake spice, grilled herb and anise alongside tightly wound, assertive tannins and bright acidity.",2011
US,Pinot Noir,86,13,Castle Rock 2013 Pinot Noir (Mendocino County),Jim Gordon,"The color is slightly light, the aromas are moderately spicy, and flavors recall baked cherries and plums. This light to medium-bodied wine is also on the delicate side in terms of flavor, but quite enjoyable and affordable, too.",2013
Italy,White Blend,87,55,Fattoria Le Pupille 2005 Solalto White (Maremma),NA,"Solalto is a pretty dessert wine with a dark amber color and simple aromas of toasted almond, apricot honey, pine nut and maple syrup. The texture is thick and gritty in places and the wine delivers genuine and easygoing appeal.",2005
US,Chardonnay,95,60,The Eyrie Vineyards 2015 Original Vines Chardonnay (Dundee Hills),Paul Gregutt,"From Draper clone vines planted in 1965, this bright gold-hued wine brings myriad details to its apple, jicama, white peach and nut oil flavors. A whiff of smoke carries throughout, and its sheer complexity strains the vocabulary. Stay with it as more subtle layers unfold. Though seductive now, it should mature well through 2030.",2015
Spain,White Blend,88,15,Mustiguillo 2014 Mestizaje White (Spain),Michael Schachner,"Dusty, minerally, stony aromas come with a floral note and accents of peach and melon. This blend of Merseguera, Malvasia and Viognier is lightly spritzy, with citrus and green apple flavors that turn mildly bitter and pithy. Drink now with anything from the sea.",2014
France,Rosé,90,30,Domaine Sainte-Marie 2016 Paparazzi Rosé (Côtes de Provence),Roger Voss,"Produced from organic grapes, the wine is ripe and packed with fruit. It has a delicious line of acidity, as well as weight and peach and red-fruit flavors. The acidity keeps the exuberance in check. Drink now.",2016
Italy,Sauvignon,86,15,Comelli 2014 Sauvignon (Friuli Colli Orientali),Kerin O’Keefe,"Subtle aromas of tomato vine, chopped herb and gooseberry set the tone while the lean, direct palate offers white grapefruit, yellow bell pepper a saline note. Bracing acidity gives it a crisp finish.",2014
France,Pinot Noir,88,80,Manuel Olivier 2011 Premier Cru  (Pommard),Roger Voss,"While this wine certainly has a tannic background, it is already showing fruitiness and ripe berry and red plum flavors. That makes for a warm, rounded wine that will age relatively quickly. Drink from 2016.",2011
US,Rosé,88,25,Horton 2014 Private Reserve Nebbiolo Rosé (Virginia),Alexander Peartree,"Northern Italian red grapes don't often turn up in Virginia. Electric pink in color, this saignée of Nebbiolo is all fruit. Fresh peach and strawberry mingle with juicy watermelon on a palate of ample weight and structure. While easy enough to be enjoyed on its own, this wine can pair with barbecue on a hot summer day.",2014
US,Red Blend,84,20,Domaine Pouillon NV Black Dot Red (Horse Heaven Hills),Paul Gregutt,"This is a nonvintage blend of Zinfandel, Syrah, Grenache and Cinsault. Well on its way to maturity, it's an easy-drinking quaffer, with a hint of bitterness on the finish.",NA
US,Syrah,95,80,Cayuse 2013 Cailloux Vineyard Syrah (Walla Walla Valley (WA)),Sean P. Sullivan,"The aromas are perfumed and expressive, with notes of crushed flowers, brown stems, black olive, sea salt, smoked meat and funk. The flavors are dense and intense, but still with a silky feel. It's a classic example of this producer, with a finish that just won't quit.",2013
US,Chardonnay,85,40,Inception 2010 Origin Chardonnay (Santa Barbara County),NA,"Lots of oak in this wine. With buttered toast and butterscotch flavors, it overpowers the underlying orange and lemon fruit, which isn't strong enough to stand up under all that wood.",2010
Italy,Sangiovese Grosso,92,85,La Gerla 2004 Riserva gli Angeli  (Brunello di Montalcino),NA,"Riserva gli Angeli is a beautiful Brunello with plump richness and long-lasting flavors of red fruit, exotic spice, leather and tobacco. Thanks to excellent growing conditions, this lucky vintage shows wonderfully rich texture in the mouth.",2004
Italy,Nebbiolo,88,75,Marziano Abbona 2012 Ravera  (Barolo),Kerin O’Keefe,"Camphor, menthol, toast and espresso aromas lead the nose. The firm, tightly wound palate shows roasted coffee bean, dried cherry and licorice alongside bracing tannins.",2012
Portugal,Alvarinho,91,35,Quinta de Soalheiro 2013 Reserva Alvarinho (Vinho Verde),Roger Voss,"A wood-fermented and -aged wine, this tones down the fruity freshness of Alvarinho and instead brings out a smooth, toasty and ripe character. Rich apricot and pineapple flavors and acidity are enveloped by notes of toast and spice. This impressive wine is still developing, so drink from the end of 2016.",2013
Portugal,Portuguese Red,88,NA,Ramos-Pinto 2008 Duas Quintas Red (Douro),Roger Voss,"A broad, ripe and very accessible wine. Spiced by nutmeg and vanilla, it is based on solid, chunky black fruits and distinguished layer of tannins. Ready to drink, or keep for one year.",2008
Italy,Primitivo,89,24,Matané 2010 Il Matané  (Primitivo di Manduria),NA,"Here is a Primitivo di Manduria that opens with soft aromas of black cherry, plum, prune and tobacco. The wine is integrated and balanced, with lingering tones of sweet spice on the finish. The palate feels velvety smooth.",2010
France,Gewürztraminer,94,42,Domaines Schlumberger 2014 Kessler Grand Cru Gewurztraminer (Alsace),Anne Krebiehl MW,"A touch of quince plays about the rich notes of peach and tangerine on the nose. An aromatic notion of dark fir honey leads onto a medium-sweet palate of ripe peach, zesty tangerine peel, golden mirabelles and lemon. The citrus elements provide a high-toned brightness that works very well with the sweet juiciness and richness of the palate. On the palate it is the wonderfully aromatic zestiness that lasts and lasts.",2014
Portugal,Touriga Nacional,84,13,DFJ Vinhos 2008 Grand'Arte Rosé Touriga Nacional (Estremadura),Roger Voss,"A fresh, bone-dry rosé, packed with acidity, red currants and a touch of caramel. The wine is light, summery, good for apéritif or food.",2008
Hungary,Syrah,88,25,Kovács Nimród 2012 Monopole Soul Syrah (Eger),Jeff Jenssen,"This Syrah boasts of cherry-vanilla, blackberry and black plum aromas and sour cherry and blackberry flavors. The tannins are nicely round, and the finish is pleasantly acidic.",2012
France,Bordeaux-style Red Blend,86,20,Nicolas Idiart 2012 Château Caillivet Cuvée In  (Graves),Roger Voss,"This Merlot-Cabernet Sauvignon blend is all fruit, black currants with fresh acidity. The tannins are still young and firm, and need to soften. Fresh and fruity, the wine will develop quickly and can be drunk from late 2016.",2012
US,Syrah,91,38,Davis Family 2006 Guyzer Block Syrah (Russian River Valley),NA,"It's quite good, a dry, full-bodied wine with complex, mashed blackberry and cherry fruit baked into peppery, cinnamony pie crust. There are additional, savory nuances of tamari, broiled ground beef and sweet Provençal herbs. Have this dry, powerful Syrah with fine roasted meats.",2006
France,Chardonnay,89,60,Huré Frères 2009 Inattendue Blanc de Blancs Extra Brut Chardonnay (Champagne),Roger Voss,"Extra Brut, yes, but the ripeness of the Chardonnay gives a rich, creamed apple character that balances the very dry aftertaste. It is still a fledgling Champagne needing to fill out. Give this until 2016 before drinking.",2009
US,Pinot Noir,90,45,Wölffer 2013 Landius Pinot Noir (Long Island),Anna Lee C. Iijima,"Equal parts fruity and savory, luscious and composed, this full-bodied Pinot Noir offers keen balance in a satisfying package. Fleshy black-cherry and plum flavors are concentrated without seeming jammy. Nuances of mushroom, cedar, toast and spice are harmonious, lifted by brisk acidity and a frame of soft, filigreed tannins. It's lovely now but should continue to improve through 2025.",2013
US,Merlot,89,32,Burrell School Vineyards 2011 Honor Roll Estate Reserve Merlot (Santa Cruz Mountains),Matt Kettmann,"A mountaintop vineyard in a cool year delivers the expected lighter elegance, offering a complicated and fascinating array of aromas, from incense and white pepper to patchouli and potpourri. The palate starts with sour cherries before the herbal lift of fennel and dill arrives, proving a light, curious and tasty wine.",2011
France,Bordeaux-style Red Blend,96,1200,Château Haut-Brion 2009  Pessac-Léognan,Roger Voss,"Solid, very structured, packed with dense and dry tannins. There is a core of acidity and darkness that gives the wine a brooding, powerful character. At this stage, it seems austere although it does have the weight of fruit typical of the year.",2009
US,Cabernet Franc,87,23,Lovingston 2012 Josie's Knoll Cabernet Franc (Monticello),NA,"Scents of raspberries, flowers and exotic spices take the lead. The palate feels broad and untethered, featuring glossy tannins, balanced acids and a pliable finish.",2012
Spain,Tempranillo,89,25,Ramirez de la Piscina 2011 Selección Reserva  (Rioja),Michael Schachner,"A heavily charred opening emphasizes surface-level oak and baking spices more than fruit. A heavy, jabbing, grabby palate tastes herbal, with stewed berry and prune flavors. A burnt-oak flavor and severe tannins are found on the finish of this muscled-up Tempranillo. Drink through 2020.",2011
US,G-S-M,86,46,Workman Ayer 2010 de facto G-S-M (Central Coast),NA,"A very flavorful wine, rich in blackberry jam, chocolate, white mint and buttercream. The tannins on this Syrah, Grenache and Mourvedre blend are thick and soft.",2010
US,Red Blend,90,35,Silver 2009 I Tre Figli Red (Santa Barbara County),Matt Kettmann,"This powerful blend of 55% Cabernet Sauvignon, 40% Sangiovese and 5% Cabernet Franc by longtime urban winemaker Benjamin Silver comes together in a big way. Aromas recall rosemary-crusted beef, boysenberry, sweet tar and, thanks to the oak-aging, both caramel and vanilla. The rich palate shows black cherry, black raspberry and a pinch of tarragon.",2009
Italy,Nebbiolo,87,50,Renato Ratti 2010 Marcenasco  (Barolo),Kerin O’Keefe,"This wine begins with aromas of oak, coffee bean and toast. The palate lacks fruit richness, offering instead dried tobacco leaf, oak extract, espresso, dried sage, vanilla and mocha alongside bitterly astringent tannins.",2010
France,Bordeaux-style Red Blend,93,NA,Château Pavie Decesse 2012 Barrel Sample  (Saint-Émilion),Roger Voss,"92–94. Barrel sample. The diminutive neighbor of Château Pavie, Pavie Decesse's wine has its own, more mineral, tight character. It is complex but fruity, with blackberries supported by wood, acidity and dense texture.",2012
US,Red Blend,91,39,Joseph Carr 2012 Red (Rutherford),Virginie Boone,"Soft, structured and grippy, this lovely blend will serve well both at the table and with a crowd. It's pleasing in its elegant concentration of ripe red cherry and peppery plum.",2012
US,Sangiovese,87,15,Pedroncelli 2008 Alto Vineyards Sangiovese (Dry Creek Valley),NA,"This is one of the more drinkable Sangioveses in California, and while it's no blockbuster, it does have a certain charm. Dry and balanced, it has easy to like cherry, tobacco, bacon and spice flavors.",2008
US,Rhône-style Red Blend,90,25,Chesebro 2013 Las Arenas Red (Arroyo Seco),Matt Kettmann,"Black raspberry, blackberry, lavender and pepper show on the deeply purple nose of this blend of 67% Grenache and 33% Syrah. Dense black fruit shows first on the palate, followed by a zesty explosion of acidity, flowery spices and cola.",2013
US,Chardonnay,86,27,Ici/La-Bas 2007 Elke Vineyard Chardonnay (Anderson Valley),NA,"Eccentric, with sweet and sour tangerine, banana and buttered toast flavors. Crisp acidity provides balance, but the wine is nearing the end of its useful period.",2007
Germany,Riesling,94,60,Maximin Grünhäuser 2015 Abtsberg Auslese Grosse Lage Riesling (Mosel),Anna Lee C. Iijima,"There's a marked tropical richness (think guava and melon) here compared to the producer's other 2015 ausleses. Plump and plush despite it's dainty alcoholic footprint, it lingers lusciously while remaining pert with acidity. Brilliantly balanced and irresistibly sweet, it can be enjoyed now through 2040.",2015
US,Pinot Noir,93,47,Marimar Estate 2008 Stony Block Don Miguel Vineyard Pinot Noir (Russian River Valley),NA,"The winery has been producing more and more low-production block bottlings from their estate vineyard. This one is entirely from the Dijon clone 115. It's soft, sweet and utterly captivating, a feminine wine of enormous charm, with raspberry, cola and pomegranate flavors, enhanced, of course, by smoky new oak. The acidity is fine, and will protect the wine as it develops over the next six years.",2008
US,Bordeaux-style Red Blend,94,55,Pirouette 2010 Red (Columbia Valley (WA)),Paul Gregutt,"Pirouette is a Cabernet-dominated Bordeaux-style blend, with 31% Merlot and 10% Petit Verdot completing the mix. Scents of violets and raspberries lead on the bouquet, with plenty of rich new-oak aromas. It's bright and spicy in the mouth, youthful and balanced, with terrific energy and aging potential.",2010
Spain,Tempranillo,87,9,Bocopa 2014 Alcanta Tempranillo (Alicante),Michael Schachner,"Perfumed plum and red-berry aromas are welcoming. Like most of the Bocopa wines, this is fresh and simple, with easy drinkability. Plum and berry flavors may rank as standard, but this Tempranillo is well executed as well as long and juicy on the finish.",2014
France,Pinot Noir,87,26,Patient Cottat 2010 Anciennes Vignes  (Sancerre),Roger Voss,"With its light color, this is a soft and fruity wine that is now beginning to mature. Its red berries are acquiring a more barnyard character, while acidity is merging into the ripe texture. It's ready to drink.",2010
Italy,Verdeca,84,10,Miali 2010 Pizzo del Vento Verdeca (Salento),NA,"This easygoing Verdeca delivers slightly oxidized aromas of apricot and butterscotch, with bright touches of lemon zest and honeysuckle.",2010
US,Chardonnay,87,18,Babcock 2009 Chardonnay (Santa Barbara County),NA,"A fine, elegant Chardonnay for drinking now. It has rich, honeyed layers of buttercream, citrus and tropical fruits and spices, brightened with crisp acidity.",2009
Argentina,Bonarda,85,19,Valle de la Puerta 2008 Reserva Bonarda (Famatina Valley),Michael Schachner,"Tight berry aromas lead the way, followed by a lively but aggressive palate with jammy, sweet, candied berry flavors. Turns a little syrupy and sweet on the finish, but overall it succeeds in a generic sort of way.",2008
US,Viognier,87,30,Merrill Cellars 2011 Reserve Viognier (Oregon),Paul Gregutt,"This spent 18 months in neutral American oak, and has a strong woody scent and flavor. Light melon and cucumber fruit remains somewhat buried, and the mouthfeel is soft and diffuse. Drink up.",2011
New Zealand,Pinot Noir,91,40,Greywacke 2013 Pinot Noir (Marlborough),Joe Czerwinski,"The 2013 vintage was a solid one for Pinot Noir in just about every corner of New Zealand. This is medium-bodied and slightly creamy-textured, with dark notes of cola, mocha and plum, spiced up by hints of cinnamon and clove. The lengthy finish is supple and velvety. Drink now–2025.",2013
France,Chardonnay,88,56,Pierre André 2008 Le Rognet Premier Cru  (Ladoix),Roger Voss,"A severe wine, its structure deriving from an important wood element and fruit tannins. It brings out apple and green plum skins, with a tangy texture that demands a few months aging.",2008
Canada,Cabernet Franc,91,34,Burrowing Owl 2014 Cabernet Franc (Okanagan Valley),Paul Gregutt,"This pure varietal bottling spent 18 months in oak, emerging perfectly proportioned with deftly integrated flavors of berry and herb, and a touch of fresh snap peas. The tannins carry the characteristic green olive notes, and the finish offers the scent and flavor of ground coffee as well. Overall a very fine effort.",2014
US,Chardonnay,87,27,William Hill Estate 2014 Chardonnay (Napa Valley),Virginie Boone,"This is a simply rendered, nicely light-bodied version of the variety, round and fleshy in mouthfeel with a taste of sugar-rimmed lime.",2014
US,Claret,84,48,White Rock Vineyards 2013 Claret (Napa Valley),Virginie Boone,"This is made from a majority of Cabernet Franc, with sizable additions of Cabernet Sauvignon, Merlot and Petit Verdot. Mint and bay leaf curry favor on the nose, while a severity of oak hits the palate.",2013
France,Riesling,92,25,Domaine Marcel Deiss 2011 Riesling (Alsace),Roger Voss,"Here is a wine that is slowly developing the most beautiful flavors. It is so perfumed with a waft of white flowers that translates onto the palate. It's balanced by a firm, steely character and layer upon layer of acidity. Age this wine and don't drink before 2017.",2011
US,Chardonnay,89,22,Adelsheim 2010 Chardonnay (Willamette Valley),Paul Gregutt,"Fine balance is a hallmark for all Adelsheim wines. This shows a mix of citrus and apple fruit, with the tartness of gooseberries as a nod to the cooler vintage. There is some pleasing complexity, with an emphasis on herbs and high-acid fruits.",2010
France,Pinot Noir,90,75,Michel et Joana Ecard 2014 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Roger Voss,"Rather lean and austere, this is a tight, structured wine. Its future lies in the firm tannins and the juicy red-currant fruit. Wait for this wine and don't drink before 2020.",2014
Australia,Cabernet Sauvignon,88,11,Jacob's Creek 1998 Cabernet Sauvignon (Barossa Valley),NA,"Deep cassis aromas, a touch of licorice, and menthol notes on the nose open to a palate of black-currant and cocoa flavors in this well-balanced, medium-weight wine. Nicely structured, it finishes with good length and moderate tannins; can be cellared a few years. Best Buy.",1998
Portugal,Touriga Nacional,88,27,Adega de Penalva 2009 Touriga Nacional (Dão),Roger Voss,"Touriga Nacional is even more at home in the Dão than it is in the Douro. Here it gives an initially austere wine, very mineral and textured. There is fruit there, juicy black currants, red berries balanced by dark tannins and condensed acidity. Drink from 2017.",2009
France,Rosé,87,17,Domaine de Nizas 2010 Rosé (Coteaux du Languedoc),Lauren Buzzeo,"Composed of 40% Syrah, 40% Grenache and 20% Mourvèdre, this fruit-forward rosé offers powerful notes of ripe red berries framed with a candied orange peel and watermelon sweetness. Fleshy on the palate with a full texture and body.",2010
US,Syrah,90,32,Mill Creek 2005 Corner Pocket Vineyard Syrah (Dry Creek Valley),NA,"To judge by the blast of white pepper and strong tannins, the Northern Rhône is the model for this dry, single-vineyard wine. It is a distinguished Syrah, but too tannic and closed down now for thorough enjoyment. Best to cellar for 3 or 4 years, maybe longer, until it throws some sediment.",2005
France,Rosé,90,22,Château Maupague 2012 Rosé (Côtes de Provence Sainte-Victoire),Roger Voss,"Vineyards around Mont Sainte-Victoire have their own appellation, accorded because of the extra ripeness the wines often have. This ripe, full, strawberry flavored wine has a fine balance between its crisp acidity and the ripe, warm texture. It could age for a few more months.",2012
France,Riesling,92,48,Domaine Zinck 2011 Pfersigberg Grand Cru Riesling (Alsace),Roger Voss,"Floral aromas lead into a rich, not quite dry wine that is beautifully ripe and perfumed. It is rounded and opulent while preserving the steely, mineral texture. Still young, it demands aging. Drink from 2017.",2011
US,Zinfandel,84,34,Mazzocco 2013 Sullivan Zinfandel (Dry Creek Valley),Virginie Boone,"This hyper-ripe wine hits it hard in terms of power and sheer strength of fruit, making for a big, slightly sweet and one-dimensional experience bordering on Port. It's to be enjoyed carefully.",2013
Italy,Sagrantino,90,35,Di Filippo 2009 Etnico  (Sagrantino di Montefalco),Kerin O’Keefe,"This high octane offering opens with aromas of mature black fruit, spice and orange peel. The palate expresses lush black cherry, blackberry and clove uplifted by a note of thyme alongside a seriously tannic backbone. It's shy on fresh acidity and you can definitely detect the alcohol, but it's still delicious.",2009
Chile,Cabernet Sauvignon-Cabernet Franc,90,25,Viña Requingua 2007 Potro de Piedra Family Reserve Cabernet Sauvignon-Cabernet Franc (Curicó Valley),Michael Schachner,"A classic Chilean Cabernet Sauvignon with aromas of lemon peel, olive and leafy fruit. It shows major structure, tannic framework and dry, herbal flavors of cassis and cherry. Long, fruity, toasty and just slightly rustic. Drink now–2012.",2007
Italy,Lambrusco di Sorbara,89,14,Cantina di Sorbara NV Omaggio a Gino Friedmann  (Lambrusco di Sorbara),Kerin O’Keefe,"Violet, red berry and crushed herb aromas lead the nose while the juicy, fruity palate doles out wild cherry, crushed strawberry and white pepper notes. Crisp acidity lends a clean finish.",NA
France,Bordeaux-style Red Blend,84,15,Château Saint-Urbain 2011  Blaye Côtes de Bordeaux,Roger Voss,"This dry wine is strongly dominated by tannins. It is structured, firm and hard-edged. Without the fresh acidity at the end, it would be a tough proposition.",2011
US,Chardonnay,85,11,Gnarly Head 2009 Chardonnay (California),NA,"Good and dry, with a firm scour of acidity and an earthiness to the pineapples and pears. This is a fine everyday Chardonnay at a fair price.",2009
